DNA_Clean_Log_File - File name = A_Clean_File_2022-07-27125456 - AA code = invert - AGCT only = TRUE
********** Anopheles_COI_MAFFT_Trimmed - 2022-07-27 12:54:56 **********
Species	Initial	Dereplicate	AGCT	AA	Genus_Outlier	Species_Outlier	Intraspecific	Interspecific	Barcode_Gap
rangeli	11	9	9	9	9	9	0.01	0.025	YES
rhodesiensis	2	2	2	2	2	2	0.005	0.00666666666666667	YES
rivulorum	1	1	1	1	1	1	NA	NA	NA
rondoni	6	3	3	3	3	3	0.00833333333333333	0.01	YES
rufipes	36	31	31	31	31	31	0.055	0.0833333333333333	YES
sacharovi	7	7	7	7	7	7	0.0116666666666667	0.045	YES
saeungae	40	27	27	27	27	27	0.0183333333333333	0.00166666666666667	NO
saperoi	4	4	4	4	4	4	0.005	0.0416666666666667	YES
sawadwongporni	18	13	13	13	13	13	0.01	0	NO
sawyeri	13	5	5	5	5	5	0.0166666666666667	0	NO
sergentii	2	2	2	2	2	2	0.00833333333333333	0.0833333333333333	YES
sinensis	328	307	307	307	307	307	0.0316666666666667	0	NO
sineroides	8	7	7	7	7	7	0.0183333333333333	0.0233333333333333	YES
splendidus	2	2	2	2	2	2	0.015	0.0683333333333333	YES
squamosus	109	107	107	107	107	105	0.0266666666666667	0.0816666666666667	YES
stephensi	79	49	49	49	49	42	0.00333333333333333	0.0766666666666667	YES
strodei	26	13	13	13	13	13	0.0183333333333333	0.00333333333333333	NO
subpictus	73	53	53	53	53	53	0.143333333333333	0	NO
sundaicus	28	28	28	28	28	28	0.095	0	NO
superpictus	5	5	5	5	5	5	0.00333333333333333	0.0833333333333333	YES
tadei	16	8	8	8	8	8	0.02	0	NO
tessellatus	66	55	55	55	55	55	0.065	0.0683333333333333	YES
triannulatus	175	91	91	91	91	91	0.035	0.0583333333333333	YES
trinkae	2	2	2	2	2	2	0.01	0.05	YES
turkhudi	1	1	1	1	1	1	NA	NA	NA
vagus	19	15	15	15	15	14	0.0316666666666667	0.0983333333333333	YES
vanderwulpi	2	1	1	1	1	1	NA	NA	NA
vaneedeni	1	1	1	1	1	1	NA	NA	NA
varuna	11	6	6	6	6	6	0.0116666666666667	0.0833333333333333	YES
vestitipennis	51	35	35	35	35	35	0.0166666666666667	0.00166666666666667	NO
walkeri	116	116	116	116	116	116	0.0766666666666667	0.00166666666666667	NO
wejchoochotei	70	64	64	64	64	64	0.00833333333333333	0	NO
xui	4	2	2	2	2	2	0.005	0.0333333333333333	YES
yaeyamaensis	5	5	5	5	5	5	0.00166666666666667	0.0383333333333333	YES
********** Culex_COI_MAFFT_Trimmed - 2022-07-27 12:56:28 **********
Species	Initial	Dereplicate	AGCT	AA	Genus_Outlier	Species_Outlier	Intraspecific	Interspecific	Barcode_Gap
abonnenci	3	3	3	3	3	3	0	0.07	YES
acharistus	9	5	5	5	5	5	0.0166666666666667	0.0133333333333333	NO
adersianus	2	2	2	2	2	2	0	0	NO
akritos	1	1	1	1	1	1	NA	NA	NA
aliciae	5	5	5	5	5	5	0.0183333333333333	0.0316666666666667	YES
alinkios	1	1	1	1	1	1	NA	NA	NA
alogistus	1	1	1	1	NA	NA	-	-	-
annulioris	16	9	9	9	9	9	0.0316666666666667	0.04	YES
annulirostris	38	24	24	24	24	24	0.045	0.0616666666666667	YES
antennatus	4	2	2	2	2	2	0	0.06	YES
apicalis	3	2	2	2	2	2	0	0.0533333333333333	YES
apicinus	6	3	3	3	3	3	0.005	0.0466666666666667	YES
argenteopunctatus	3	3	3	3	3	3	0	0.065	YES
arizonensis	6	3	3	3	NA	NA	-	-	-
asteliae	2	1	1	1	1	1	NA	NA	NA
atratus	10	8	8	8	7	7	0.113333333333333	0.00333333333333333	NO
aurantapex	6	3	3	3	3	3	0	0.00166666666666667	YES
australicus	18	12	12	12	12	12	0.00833333333333333	0.0283333333333333	YES
bahamensis	34	33	33	33	33	31	0.005	0	NO
bastagarius	18	9	9	9	1	1	NA	NA	NA
bhutanensis	12	6	6	6	6	6	0.00666666666666667	0.0283333333333333	YES
bicornutus	12	6	6	6	6	6	0.0616666666666667	0.0183333333333333	NO
bidens	56	27	27	27	27	27	0.01	0	NO
bitaeniorhynchus	75	38	37	37	37	36	0.02	0.00166666666666667	NO
boninensis	18	6	6	6	6	6	0.005	0.0233333333333333	YES
brevispinosus	1	1	1	1	1	1	NA	NA	NA
camposi	4	2	2	2	2	2	0.005	0	NO
chidesteri	13	10	10	10	10	10	0.0733333333333333	0	NO
cinctellus	10	5	5	5	5	5	0.01	0.0433333333333333	YES
clarki	2	2	2	2	2	2	0.0183333333333333	0.0916666666666667	YES
comatus	3	3	3	3	3	3	0.00333333333333333	0.0316666666666667	YES
commevynensis	3	3	3	3	2	2	0.00666666666666667	0.0466666666666667	YES
comminutor	6	4	4	4	NA	NA	-	-	-
conspirator	8	4	3	3	3	3	0.0266666666666667	0.0233333333333333	NO
contei	2	2	2	2	2	2	0.015	0.015	NO
corentynensis	4	4	4	4	4	4	0.0183333333333333	0.0416666666666667	YES
corniger	34	15	14	14	14	14	0.0633333333333333	0.01	NO
coronator	158	109	109	109	109	105	0.0283333333333333	0	NO
creole	2	2	2	2	2	2	0	0.00666666666666667	YES
crinicauda	2	1	1	1	1	1	NA	NA	NA
crybda	14	8	8	8	7	7	0.1	0.0233333333333333	NO
declarator	39	19	19	19	19	18	0.0133333333333333	0	NO
distinguendus	3	3	3	3	NA	NA	-	-	-
dolosus	31	11	11	11	11	11	0.0383333333333333	0.01	NO
dunni	7	5	5	5	5	5	0.0316666666666667	0.0383333333333333	YES
duttoni	7	5	5	5	5	5	0.00333333333333333	0.0533333333333333	YES
eastor	8	8	8	8	8	8	0.06	0.00333333333333333	NO
eduardoi	8	4	4	4	4	4	0.0133333333333333	0.0116666666666667	NO
educator	8	7	7	7	7	6	0.0116666666666667	0.0116666666666667	NO
eknomios	3	3	3	3	3	3	0.00666666666666667	0.0433333333333333	YES
elevator	4	1	1	1	1	1	NA	NA	NA
ensiformis	4	4	4	4	4	4	0.0383333333333333	0.0383333333333333	NO
erraticus	4	4	4	4	4	4	0.045	0	NO
erythrothorax	2	1	1	1	1	1	NA	NA	NA
europaeus	2	2	2	2	2	2	0.005	0.035	YES
evansae	1	1	1	1	NA	NA	-	-	-
flabellifer	2	2	2	2	2	2	0.00166666666666667	0.04	YES
foliafer	2	2	2	2	1	1	NA	NA	NA
foliatus	2	1	1	1	1	1	NA	NA	NA
fuscocephala	40	20	20	20	20	20	0.0166666666666667	0.0566666666666667	YES
gelidus	36	23	23	23	23	23	0.015	0.0483333333333333	YES
gnomatos	2	2	2	2	2	2	0.005	0.0783333333333333	YES
hayashii	21	20	20	20	20	20	0.05	0.01	NO
hortensis	50	28	28	28	28	28	0.0183333333333333	0.08	YES
idottus	11	5	5	5	5	5	0.04	0.00333333333333333	NO
imitator	5	3	3	3	1	1	NA	NA	NA
impudicus	36	20	20	20	20	19	0.005	0	NO
inatomii	12	7	7	7	7	7	0.01	0.035	YES
infantulus	23	14	14	14	14	14	0.0266666666666667	0.0583333333333333	YES
innovator	3	3	3	3	3	3	0.0283333333333333	0.0116666666666667	NO
interfor	37	19	19	19	19	18	0.005	0.00666666666666667	YES
interrogator	5	2	2	2	2	2	0.01	0	NO
intrincatus	11	11	11	11	11	11	0.0116666666666667	0.0266666666666667	YES
iolambdis	3	3	3	3	3	3	0	0.0416666666666667	YES
iyengari	6	3	3	3	3	3	0	0.03	YES
jacksoni	4	2	2	2	2	2	0.00166666666666667	0.00166666666666667	NO
janitor	3	3	3	3	3	3	0.045	0	NO
kyotoensis	46	20	20	20	20	20	0.0333333333333333	0.0116666666666667	NO
lacertosus	1	1	1	1	1	1	NA	NA	NA
lactator	6	3	3	3	3	3	0	0	NO
laticinctus	14	13	13	13	13	13	0.00333333333333333	0.0183333333333333	YES
lucifugus	14	9	7	7	7	7	0.0133333333333333	0.01	NO
lygrus	5	3	3	3	3	3	0.00666666666666667	0.0416666666666667	YES
martinii	2	1	1	1	1	1	NA	NA	NA
maxi	21	8	8	8	8	8	0.00833333333333333	0.00166666666666667	NO
mimeticus	42	23	23	23	23	23	0.0266666666666667	0.00166666666666667	NO
mirificus	8	4	4	4	4	4	0.00333333333333333	0.005	YES
misionensis	3	3	3	3	NA	NA	-	-	-
modestus	479	248	247	247	247	241	0.0266666666666667	0.035	YES
mollis	30	12	12	12	12	12	0.0133333333333333	0.0116666666666667	NO
nigripalpus	291	195	195	195	195	192	0.0133333333333333	0	NO
nigropunctatus	25	13	13	13	13	13	0.0183333333333333	0.025	YES
pallidothorax	32	20	20	20	20	20	0.01	0.025	YES
perexiguus	46	41	41	41	41	41	0.0133333333333333	0	NO
pereyrai	2	2	2	2	NA	NA	-	-	-
perfuscus	6	3	3	3	3	3	0.00833333333333333	0.0116666666666667	YES
pervigilans	34	9	9	9	9	9	0.00166666666666667	0	NO
phlogistus	2	2	2	2	2	2	0.0116666666666667	0.015	YES
pilosus	13	7	7	7	6	6	0.12	0.01	NO
pinarocampa	16	4	4	4	4	4	0.0433333333333333	0	NO
pipiens	1601	969	962	962	962	906	0.00666666666666667	0	NO
pleuristriatus	6	4	4	4	4	4	0.0983333333333333	0.0816666666666667	NO
portesi	2	2	2	2	1	1	NA	NA	NA
pseudostigmatosoma	26	13	13	13	13	13	0.01	0.00666666666666667	NO
pseudovishnui	27	16	16	16	16	16	0.0316666666666667	0.01	NO
quinquefasciatus	2531	1298	1294	1294	1294	1278	0.00666666666666667	0	NO
rabanicolus	3	3	3	3	3	3	0.0116666666666667	0.03	YES
restuans	176	159	159	159	159	152	0.00833333333333333	0.0133333333333333	YES
ribeirensis	11	11	11	11	11	11	0.0116666666666667	0.055	YES
richei	4	2	2	2	2	2	0.0733333333333333	0.01	NO
rima	9	5	5	5	5	5	0.118333333333333	0	NO
rorotaensis	3	3	3	3	3	3	0.00333333333333333	0.0683333333333333	YES
rotoruae	2	1	1	1	1	1	NA	NA	NA
rubinotus	13	6	5	5	5	5	0.0183333333333333	0.0833333333333333	YES
rubithoracis	2	1	1	1	1	1	NA	NA	NA
ryukyensis	16	8	8	8	8	8	0.0266666666666667	0.025	NO
sacchettae	3	3	3	3	NA	NA	-	-	-
salinarius	195	190	190	190	190	187	0.015	0	NO
saltanensis	4	2	2	2	2	2	0.00166666666666667	0.0133333333333333	YES
saramaccensis	1	1	1	1	1	1	NA	NA	NA
sasai	26	18	18	18	18	18	0.00833333333333333	0.0116666666666667	YES
serratimarge	3	2	2	2	2	2	0.0733333333333333	0.04	NO
shebbearei	4	2	2	2	2	2	0.00333333333333333	0.045	YES
simpsoni	4	2	2	2	2	2	0.0566666666666667	0.00166666666666667	NO
sinaiticus	10	5	5	5	5	5	0.0133333333333333	0.00166666666666667	NO
sitiens	76	39	39	39	39	38	0.03	0.0516666666666667	YES
spiculosus	4	4	4	4	4	4	0.1	0.0183333333333333	NO
spissipes	5	5	5	5	5	5	0.0466666666666667	0.101666666666667	YES
stigmatosoma	10	8	8	8	8	8	0.0866666666666667	0.0266666666666667	NO
stonei	10	5	5	5	2	2	0.01	0.0883333333333333	YES
striatipes	4	3	3	3	3	3	0.0916666666666667	0.00166666666666667	NO
surinamensis	4	3	3	3	3	3	0.01	0	NO
taeniopus	37	17	17	17	6	6	0.00166666666666667	0.00333333333333333	YES
tarsalis	317	287	287	287	287	280	0.015	0.02	YES
tatoi	15	8	8	8	8	8	0.02	0.00333333333333333	NO
territans	181	116	116	116	116	116	0.0583333333333333	0	NO
theileri	120	92	90	90	90	89	0.015	0.005	NO
theobaldi	29	16	16	16	16	16	0.0983333333333333	0.0433333333333333	NO
thriambus	8	NA	NA	NA	NA	NA	-	-	-
torrentium	624	312	298	298	298	296	0.01	0.02	YES
tournieri	3	3	3	3	3	3	0.00333333333333333	0.015	YES
trifoliatus	1	1	1	1	1	1	NA	NA	NA
trigeminatus	1	1	1	1	NA	NA	-	-	-
tritaeniorhynchus	1373	686	684	684	684	684	0.0916666666666667	0	NO
tuberis	4	2	2	2	2	2	0.005	0.045	YES
unicornis	3	3	3	3	3	3	0.0133333333333333	0.0433333333333333	YES
univittatus	131	83	82	82	82	82	0.0516666666666667	0	NO
usquatus	59	30	30	30	30	29	0.015	0	NO
vagans	25	13	13	13	13	13	0.02	0.03	YES
vansomereni	1	1	1	1	1	1	NA	NA	NA
vaxus	10	4	4	4	4	4	0.0483333333333333	0.045	NO
vishnui	29	15	15	15	15	13	0.0116666666666667	0	NO
vomerifer	16	10	10	10	1	1	NA	NA	NA
ybarmis	1	1	1	1	1	1	NA	NA	NA
zeteki	3	3	3	3	3	3	0.0416666666666667	0.0383333333333333	NO
********** Culiseta_COI_MAFFT_Trimmed - 2022-07-27 12:58:42 **********
Species	Initial	Dereplicate	AGCT	AA	Genus_Outlier	Species_Outlier	Intraspecific	Interspecific	Barcode_Gap
alaskaensis	64	59	59	59	59	53	0.00833333333333333	0	NO
annulata	363	233	233	233	233	233	0.00333333333333333	0.0366666666666667	YES
bergrothi	4	4	4	4	4	4	0.00333333333333333	0.035	YES
glaphyroptera	2	2	2	2	2	2	0	0.0433333333333333	YES
impatiens	102	102	102	102	102	102	0.113333333333333	0	NO
litorea	36	18	18	18	18	18	0.0166666666666667	0	NO
melanura	167	126	126	126	126	124	0.0266666666666667	0	NO
minnesotae	96	92	92	92	92	92	0.035	0	NO
morsitans	29	18	18	18	18	18	0.143333333333333	0	NO
nipponica	17	10	10	10	10	10	0.0166666666666667	0	NO
novaezealandiae	2	1	1	1	1	1	NA	NA	NA
ochroptera	9	8	8	8	8	8	0.0183333333333333	0	NO
tonnoiri	2	1	1	1	1	1	NA	NA	NA
********** Ochlerotatus_COI_MAFFT_Trimmed - 2022-07-27 12:58:45 **********
Species	Initial	Dereplicate	AGCT	AA	Genus_Outlier	Species_Outlier	Intraspecific	Interspecific	Barcode_Gap
abserratus	93	93	92	92	92	85	0.00666666666666667	0.00166666666666667	NO
aurifer	11	11	11	11	11	10	0.0266666666666667	0.0366666666666667	YES
burgeri	3	3	3	3	3	3	0.00333333333333333	0.0733333333333333	YES
camptorhynchus	10	10	10	10	10	10	0.005	0.0483333333333333	YES
cantator	11	11	11	11	11	11	0.0133333333333333	0.0533333333333333	YES
cataphylla	21	21	21	21	21	21	0.02	0.0216666666666667	YES
chionotum	1	1	1	1	1	1	NA	NA	NA
churchillensis	6	6	6	6	6	6	0.015	0.0183333333333333	YES
coluzzii	1	1	1	1	1	1	NA	NA	NA
